Date,Job,Company Name,Company Location,Posted Date
2022-04-04,"                         Analyst I, Data Science                        ",                         Liberty Mutual Insurance                        ,"                        Seattle, WA 98101                                                 (                                                  Downtown area                                                  )                        ",                         Posted                                                25 days ago                       
2022-04-04,                         Junior Data Analyst-Entry level                        ,                        PCS GLOBAL TECH                       ,"                        Seattle, WA                       ",                         Employer                                                Active 3 days ago                       
2022-04-04,                          new                                                  Data Analyst (Part-Time) - Entry level (Jr/Sr final year Col...                        ,"                         NBTY, Inc.                        ","                        Redmond, WA 98052                                                 (                                                  SE Redmond area                                                  )                        ",                         Employer                                                Active 2 days ago                       
2022-04-04,                         Service Desk Analyst                        ,                        Eteam Infoservices Private Limited                       ,"                        Kent, WA                       ",                         Employer                                                Active 11 days ago                       
2022-04-04,                         Healthcare Entry-Level Data Analyst                        ,                         Milliman                        ,"                        Seattle, WA 98101                                                 (                                                  Downtown area                                                  )                        ",                         Posted                                                30+ days ago                       
2022-04-04,                          new                                                  ASSOCIATE ANALYST/ENGINEER                        ,"                        GDS Associates, Inc.                       ","                        Hybrid remote in Seattle, WA                       ",                         Posted                                                5 days ago                       
2022-04-04,"                         Business Data Analyst - Auburn, WA                        ",                         Miracorp Inc                        ,"                        Auburn, WA 98001                       ",                         Posted                                                30+ days ago                       
2022-04-04,                         Software Data Analyst – Full-Time                        ,                        TXT e-solutions SPA                       ,"                        Seattle, WA                       ",                         Posted                                                30+ days ago                       
2022-04-04,                         Lead Business System Analyst- Customer Data Platform                        ,                        Merkle                       ,"                        Seattle, WA                       ",                         Posted                                                30+ days ago                       
2022-04-04,                         Entry Level Business Analyst                        ,                         Logical Paradigm LLC                        ,                        United States                       ,                         Employer                                                Active 1 day ago                       
2022-04-04,                         Entry level BA                        ,                         Logical Paradigm LLC                        ,                        United States                       ,                        Hiring ongoing                       
2022-04-04,                          new                                                  Junior Business Analyst(B.A.)                        ,                         Logical Paradigm LLC                        ,                        United States                       ,                        Hiring ongoing                       
2022-04-04,                         Business Intelligence (BI) Analyst/Architect                        ,                        DKKD Staffing                       ,                        United States                       ,                         Posted                                                30+ days ago                       
2022-04-04,                         ERP SQL Systems Programmer/Data Analyst                        ,                        DKKD Staffing                       ,                        United States                       ,                         Posted                                                30+ days ago                       
